Year,Player,Pos,Tm,G,PER, Salary ,MP,3P,2P,FT,TRB,AST,STL,BLK,TOV,PF,PTS,Archetype
1980,Swen Nater,C,SDC,81,17.2,,35.3,0,5.5,2.4,15,2.9,0.6,0.5,3.2,3.2,13.4,All Star Post Scorer
1980,Marvin Webster,C,NYK,20,9.2,,14.9,0,1.9,0.6,4,0.5,0.2,0.6,1,2,4.4,Post Scorer
1980,Raymond Townsend,SG,GSW,75,9.6,,15.5,0.1,2.2,0.8,1.2,1.5,0.8,0.1,0.9,1.5,5.4,Sharpshooter
1980,Alonzo Bradley,SF,HOU,22,4.1,,4.4,0,0.7,0.3,0.3,0.1,0.1,0,0.4,0.4,1.9,Ignorance
1980,Artis Gilmore,C,CHI,48,19.9,,32.7,0,6.4,5.1,9,2.8,0.6,1.2,2.8,3.5,17.8,All Star Big Man
1980,Jack Sikma,C,SEA,82,16.5,,34.1,0,5.7,2.9,11.1,3.4,0.8,0.9,2.5,2.8,14.3,All Star Post Scorer
1980,Moses Malone,C,HOU,82,24.1,,38.3,0,9.5,6.9,14.5,1.8,1,1.3,3.7,2.6,25.8,All Star Big Man
1980,Ollie Mack,SG,TOT,50,10.9,,13.6,0,2,0.8,1.4,1.1,0.5,0.1,0.7,1,4.7,Ignorance
1980,Jim Cleamons,PG,TOT,79,10.8,,22.6,0.1,2.6,1.1,1.9,3.6,0.7,0.1,1.4,1.7,6.6,Playmaker
1980,Gar Heard,PF,PHO,82,11.5,,17.1,0,2.1,0.8,4.6,1.2,1,0.6,1.1,2.2,5,Post Scorer
1980,Mike Bratz,PG,PHO,82,11.6,,19.4,0.3,3,1.7,2,2.7,1.1,0.1,1.6,2,8.5,Playmaker
1980,Campy Russell,SF,CLE,41,16.2,,32.5,0,6.9,4.3,5.5,4.2,1.8,0.5,3.6,2.8,18.2,Superstar
1980,Larry Demic,PF,NYK,82,7.4,,22.8,0,2.8,1.3,5.9,0.8,0.7,0.4,2,3.7,7,Rim Protector
1980,John Coughran,SF,GSW,24,6,,6.7,0.1,1.1,0.3,0.8,0.5,0.3,0,0.5,1,2.8,Ignorance
1980,Kareem Abdul-Jabbar,C,LAL,82,25.3,,38.3,0,10.2,4.4,10.8,4.5,1,3.4,3.6,2.6,24.8,All Star Big Man
1980,Ollie Johnson,SF,CHI,79,12.3,,19.4,0,3.3,1,2.1,2,0.7,0.3,1.2,2.1,7.7,Playmaker
1980,Tom Boswell,PF,TOT,79,14.3,,26.3,0.1,4.3,2.6,5.6,2,0.4,0.5,2.3,3.4,11.4,All Star Post Scorer
1980,Bob McAdoo,PF,DET,58,16.3,,36.2,0.1,8.4,4.1,8.1,3.4,1.3,1.1,4.1,3.1,21.1,Superstar
1980,Terry Furlow,SG,TOT,76,16,,27.9,0.3,5.3,2.3,2.6,3.9,1,0.3,2.1,1.3,13.9,Playmaker
1980,Rudy Tomjanovich,PF,HOU,62,14.2,,29.6,0.4,5.6,1.9,5.8,1.8,0.5,0.2,1.6,2.6,14.2,All Star Post Scorer
1980,Bill Cartwright,C,NYK,82,17.9,,38.4,0,8.1,5.5,8.9,2,0.6,1.2,2.7,3.4,21.7,All Star Big Man
1980,Chris Ford,SG,BOS,73,13,,29,1,3.6,1.2,2.5,2.9,1.5,0.4,1.4,2.4,11.2,Playmaker
1980,Bob Carrington,SG,SDC,10,5.9,,13.4,0,1.5,0.6,1.3,0.3,0.4,0.1,0.5,1.8,3.6,Post Scorer
1980,Jim Spanarkel,SG,PHI,40,10.7,,11.1,0,1.8,1.4,1.4,1.3,0.3,0.2,1.4,1.5,5,Post Scorer
1980,Nick Weatherspoon,SF,SDC,57,9.3,,19.7,0,2.9,1.1,3.6,0.9,0.6,0.3,1.5,2.4,6.9,Post Scorer
1980,Darryl Dawkins,C,PHI,80,14.6,,31.8,0,6.2,2.4,8.7,1.9,0.6,1.8,2.9,4.1,14.7,All Star Big Man
1980,Dan Issel*,C,DEN,82,22.2,,35.8,0,8.7,6.3,8.8,2.4,1.1,0.7,2,2.3,23.8,Superstar
1980,Sonny Parker,SF,GSW,82,16.2,,34.7,0,5.9,2.9,5.7,3.1,2.1,0.4,2,2.4,14.7,All Star Post Scorer
1980,Butch Lee,PG,TOT,14,5.3,,3.9,0,0.4,0.4,0.8,0.9,0.1,0,0.7,0.1,1.3,Ignorance
1980,Roger Brown,C,CHI,4,7,,9.3,0,0.3,0,2.5,0.3,0,0.8,0,1,0.5,Ignorance
1980,Quinn Buckner,PG,MIL,67,16.5,,25.2,0,4.5,1.6,3.6,5.7,2,0.1,2.2,3,10.7,All Star Playmaker
1980,Tony Zeno,SF,IND,8,0.2,,7.4,0,0.8,0.3,1.8,0.1,0.5,0.4,1.1,1.6,1.8,Ignorance
1980,Allan Bristow,SF,UTA,82,16.6,,28.1,0,4.6,2.4,6.2,4.2,1.1,0.1,2.2,2.6,11.6,All Star Post Scorer
1980,Mike Newlin,SG,NJN,78,17.7,,32.2,0.6,7.3,4.7,3.4,4,1.5,0.1,3,2.5,20.9,Superstar
1980,Magic Johnson,SG,LAL,77,20.6,,36.3,0.1,6.4,4.9,7.7,7.3,2.4,0.5,4,2.8,18,All Star Playmaker
1980,Tree Rollins,C,ATL,82,18.9,,25.9,0,3.5,1.9,9.4,0.9,0.7,3,1.2,3.9,8.9,All Star Big Man
1980,Walter Davis,SF,PHO,75,21.3,,30.8,0,8.8,4,3.6,4.5,1.5,0.3,3.2,2.7,21.5,Superstar
1980,Len Elmore,C,KCK,58,10.6,,15.8,0,1.8,0.9,4.4,1.1,0.7,0.7,1.2,2.7,4.5,Post Scorer
1980,John Kuester,PG,IND,24,11.1,,4.2,0,0.5,0.2,0.6,0.7,0.3,0,0.2,0.3,1.2,Ignorance
1980,Clint Richardson,SG,PHI,52,9.9,,19,0,3,0.5,2.4,2.1,0.5,0.3,1.2,1.9,6.7,Post Scorer
1980,Reggie King,PF,KCK,82,13.5,,25,0,3.1,1.9,6.9,1.3,0.8,0.4,1.2,2.8,8.2,Rim Protector
1980,Greg Ballard,SF,WSB,82,18.1,,29.7,0.2,6.5,2.1,7.8,1.9,1.1,0.4,1.6,2.4,15.6,All Star Post Scorer
1980,Bill Robinzine,PF,KCK,81,15.3,,23.7,0,4.5,2.5,6.5,0.8,1.3,0.3,1.8,3.8,11.4,All Star Post Scorer
1980,Bob Wilkerson,SF,DEN,75,10.9,,31.7,0.1,5.6,2.2,4.2,3.2,1.2,0.4,2.6,2.6,13.8,All Star Post Scorer
1980,Paul Westphal,SG,PHO,82,21.1,,32.5,0.3,8.1,4.7,2.3,5.1,1.5,0.4,2.5,2,21.9,Superstar
1980,Mike Glenn,SG,NYK,75,16.6,,10.7,0,2.5,0.8,0.9,1.1,0.5,0.1,0.5,1.1,5.9,Ignorance
1980,Phil Hubbard,PF,DET,64,13.7,,18.6,0,3.3,2.6,5,1.1,0.8,0.2,1.9,3.2,9.1,Rim Protector
1980,Eric Fernsten,PF,BOS,56,14.4,,7.7,0,1.3,0.6,1.7,0.5,0.3,0.2,0.4,0.8,3.1,Ignorance
1980,Don Ford,SF,TOT,73,9.6,,13.7,0,1.8,0.6,2.5,0.9,0.3,0.3,0.7,1.8,4.2,Post Scorer
1980,Tim Bassett,PF,TOT,12,6.7,,13.7,0,1,0.8,2.8,1.2,0.7,0,0.8,2.3,2.8,Post Scorer
1980,Kevin Porter,PG,WSB,70,13.1,,21.3,0,2.9,1.6,1.2,6.5,0.8,0.2,2.3,2.6,7.3,Playmaker
1980,Jim Paxson,SG,POR,72,9.1,,17.6,0,2.6,0.9,1.5,2,0.7,0.1,1.3,1.3,6.2,Sharpshooter
1980,Wayne Cooper,PF,GSW,79,14.8,,22.5,0,4.6,1.7,6.4,0.5,0.3,1,1.8,3.1,11,Rim Protector
1980,David Thompson,SG,DEN,39,19,,31.8,0.2,7.2,6.5,4.5,3.2,1,1,3,2.7,21.5,Superstar
1980,Henry Bibby,PG,PHI,82,11.1,,24.8,0.1,2.9,2.8,2.5,3.7,0.8,0.1,1.8,2,9,Playmaker
1980,Harry Davis,SF,SAS,4,5.8,,7.5,0,1.5,0.3,1.5,0,0.3,0,0.8,2,3.3,Ignorance
1980,Fred Brown,SG,SEA,80,16.4,,21.3,0.5,4.6,1.4,1.9,2.2,0.8,0.2,1.3,1.5,12,Playmaker
1980,Tom LaGarde,C,SEA,82,10.8,,14.2,0,1.8,1.1,3.8,1.1,0.2,0.4,1.2,2.5,4.7,Post Scorer
1980,Richard Washington,PF,MIL,75,12.3,,14.6,0,2.6,0.6,3.7,0.7,0.3,0.6,0.8,2.2,5.9,Post Scorer
1980,Paul Mokeski,C,HOU,12,4.4,,9.4,0,0.9,0.6,2.4,0.2,0.1,0.5,0.8,2,2.4,Post Scorer
1980,Scott May,SF,CHI,54,14.9,,24,0,4.9,2.7,4,1.9,0.8,0.1,1.4,2.3,12.4,Playmaker
1980,Adrian Dantley,SF,UTA,68,24.3,,39.3,0,10.7,6.5,7.6,2.8,1.4,0.2,3.4,3.1,28,Superstar
1980,Larry Steele,SF,POR,16,10.8,,27.9,0,3.9,1.4,2.8,4.2,1.6,0.1,2.1,3.3,9.1,Playmaker
1980,Jim Chones,C,LAL,82,11.3,,29.2,0,4.5,1.5,6.9,1.8,0.7,0.8,2.1,3.3,10.6,Rim Protector
1980,Larry Kenon,PF,SAS,78,17.2,,35.9,0,8.3,3.5,9.9,3,1.4,0.2,3,2.5,20.1,All Star Post Scorer
1980,John Drew,SF,ATL,80,17.8,,28.8,0,6.7,6.1,5.9,1.3,1.1,0.3,3,3.9,19.5,All Star Post Scorer
