YR_TM_PLR,YEARS,YEAR,TEAM,CHAMP,PLAYER,NUMBER,POS,WTD POS,RD POS,HEIGHT (IN),WEIGHT (LBS),BMI,W-SPAN (IN),APE,AGE,NATION,COUNTRY,CONTINENT,GLOBAL REGION,EXPERIENCE,COLLEGE,CONFERENCE,SALARY,% SALARY,MP,PER,WTD-PER,D-WS,O-WS,WS,ADJ_WS,WS_VAL,TM-WS,RAPTOR,RAPTOR_VAL,TM-RAPTOR,LEBRON,LEBRON_VAL,TM-LEBRON,USG%,TS%,AST%,STL%,BLK%,TO%,AST%/TO%,STOCK%,,,,,,YEARS,YEAR,TEAM,PLAYER,,,SALARY
2022-GSW-Stephen Curry,2021-22,2022,GSW,2022-GSW,Stephen Curry,30,PG,1.03,1,74,185,23.7,75.5,1.020,34.3,us,United States,North America,Americas,12,Davidson,A10,45780966,0.26,2211,21.5,2.41,4.6,3.4,8,,5.72,4.51,6.8,6.73,1.36,4.4,10.40,0.98,30.8,60.1,30.4,1.9,1.0,13.2,2.3,2.9,,,,,,2021-22,2022,GSW,Stephen Curry,,,45780966
2022-GSW-Klay Thompson,2021-22,2022,GSW,2022-GSW,Klay Thompson,11,SG,2.53,3,78,215,24.8,82,1.051,32.4,us,United States,North America,Americas,8,Washington State,PAC12,37980720,0.21,941,16.81,0.80,0.6,1.2,1.8,,21.10,4.51,-0.8,-47.48,1.36,1.09,34.84,0.98,29.6,54.7,16.1,0.8,1.7,6.7,2.4,2.5,,,,,,2021-22,2022,GSW,Klay Thompson,,,37980720
2022-GSW-Andrew Wiggins,2021-22,2022,GSW,2022-GSW,Andrew Wiggins,22,SF,3.34,3,79,197,22.2,84,1.063,27.3,ca,Canada,North America,Americas,7,Kansas,BIG12,31579390,0.18,2329,15.04,1.78,1.8,3.4,5.1,,6.19,4.51,2.1,15.04,1.36,0.4,78.95,0.98,23.1,56,10.8,1.6,2.1,9.0,1.2,3.7,,,,,,2021-22,2022,GSW,Andrew Wiggins,,,31579390
2022-GSW-Draymond Green,2021-22,2022,GSW,2022-GSW,Draymond Green,23,PF,4.13,4,78,230,26.6,85.25,1.093,32.3,us,United States,North America,Americas,9,Michigan State,BIG10,24026712,0.14,1329,14.3,0.96,0.8,2.8,3.6,,6.67,4.51,3.8,6.32,1.36,2.01,11.95,0.98,14.3,58.2,32.5,2.2,3.6,31.9,1.0,5.8,,,,,,2021-22,2022,GSW,Draymond Green,,,24026712
2022-GSW-Jonathan Kuminga,2021-22,2022,GSW,2022-GSW,Jonathan Kuminga,0,SF,4.11,4,80,210,23.1,85,1.063,19.7,cd,Congo (DR),Africa,Africa,1,G-LEAGUE,G-L,5466360,0.03,1185,15.29,0.92,1.3,1.8,3,,1.82,4.51,-4.7,-1.16,1.36,-1.28,-4.27,0.98,22.7,60,8.4,1.3,1.8,12.0,0.7,3.1,,,,,,2021-22,2022,GSW,Jonathan Kuminga,,,5466360
2022-GSW-Kevon Looney,2021-22,2022,GSW,2022-GSW,Kevon Looney,5,C,4.99,5,81,222,23.8,88,1.086,26.4,us,United States,North America,Americas,6,UCLA,PAC12,5178572,0.03,1732,15.78,1.39,3.5,3.2,6.8,,0.76,4.51,2.4,2.16,1.36,1.2,4.32,0.98,12.2,58.6,13.2,1.4,2.9,13.8,1.0,4.3,,,,,,2021-22,2022,GSW,Kevon Looney,,,5178572
2022-GSW-Moses Moody,2021-22,2022,GSW,2022-GSW,Moses Moody,4,SG,2.63,3,78,205,23.7,84,1.077,20.0,us,United States,North America,Americas,1,Arkansas,SEC,3562080,0.02,607,10.5,0.32,0.6,0.7,1.3,,2.74,4.51,-9.2,-0.39,1.36,-2.05,-1.74,0.98,15.2,57.3,5.3,0.6,1.6,6.1,0.9,2.2,,,,,,2021-22,2022,GSW,Moses Moody,,,3562080
2022-GSW-Andre Iguodala,2021-22,2022,GSW,2022-GSW,Andre Iguodala,9,SF,3.08,3,78,215,24.8,83,1.064,38.4,us,United States,North America,Americas,17,Arizona,PAC12,2641691,0.01,603,12.29,0.38,0.5,1.1,1.6,,1.65,4.51,4,0.66,1.36,1.19,2.22,0.98,11.4,47.8,24.7,2.2,3.5,17.7,1.4,5.7,,,,,,2021-22,2022,GSW,Andre Iguodala,,,2641691
2022-GSW-Otto Porter Jr.,2021-22,2022,GSW,2022-GSW,Otto Porter Jr.,32,PF,4.36,4,80,198,21.7,85,1.063,29.0,us,United States,North America,Americas,8,Georgetown,BIG EAST,2389641,0.01,1396,15.94,1.13,2.2,2.7,4.9,,0.49,4.51,2.5,0.96,1.36,1.93,1.24,0.98,15,58.1,9.6,2.4,2.0,7.7,1.2,4.4,,,,,,2021-22,2022,GSW,Otto Porter Jr.,,,2389641
2022-GSW-Jordan Poole,2021-22,2022,GSW,2022-GSW,Jordan Poole,3,SG,1.72,2,76,194,23.6,78,1.026,23.0,us,United States,North America,Americas,2,Michigan,BIG10,2161440,0.01,2283,16.2,1.87,3.1,2.9,6,,0.36,4.51,0.9,2.40,1.36,1.36,1.59,0.98,26,59.8,21.0,1.3,1.0,13.7,1.5,2.3,,,,,,2021-22,2022,GSW,Jordan Poole,,,2161440
