YEAR,TM_CODE_HOME,FGM_HOME,FGA_HOME,FG_PCT_HOME,FG3M_HOME,FG3A_HOME,FG3_PCT_HOME,FTM_HOME,FTA_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PTS_HOME,PLUS_MINUS_HOME,FGM_AWAY,FGA_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3A_AWAY,FG3_PCT_AWAY,FTM_AWAY,FTA_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PTS_AWAY,PLUS_MINUS_AWAY,PTS_QTR1_HOME,PTS_QTR2_HOME,PTS_QTR3_HOME,PTS_QTR4_HOME,PTS_OT1_HOME,PTS_OT2_HOME,PTS_HOME_y,PTS_QTR1_AWAY,PTS_QTR2_AWAY,PTS_QTR3_AWAY,PTS_QTR4_AWAY,PTS_OT1_AWAY,PTS_OT2_AWAY,LAST_GAME_HOME_TEAM_POINTS,LAST_GAME_AWAY_TEAM_POINTS,HOME_TEAM_WINS,HOME_TEAM_LOSSES
1991,NBA,41.95,87.45,0.48,2.57,7.66,0.32,21.08,27.70,0.76,14.63,30.14,44.76,25.78,8.82,5.90,14.74,21.57,107.54,4.46,40.59,87.25,0.47,2.48,7.60,0.31,19.42,25.66,0.76,14.09,28.48,42.57,23.17,8.46,5.14,15.47,22.90,103.08,-4.46,27.25,26.34,26.79,26.38,10.79,11.38,107.54,25.68,25.10,25.42,26.12,10.47,12.25,104.67,106.32,2.04,2.19
1992,NBA,41.30,86.13,0.48,3.05,8.93,0.33,21.64,28.60,0.76,14.16,30.04,44.20,25.89,8.70,5.58,15.13,22.59,107.28,4.02,40.05,85.77,0.47,2.97,8.98,0.32,20.18,26.84,0.75,13.42,28.65,42.07,23.52,8.40,4.83,15.72,23.73,103.26,-4.02,27.10,26.43,26.37,26.68,10.44,10.11,107.28,25.85,25.22,25.55,25.98,9.59,11.67,104.57,106.34,2.00,2.22
1993,NBA,40.11,84.86,0.47,3.30,9.87,0.33,20.00,27.30,0.73,14.20,29.72,43.92,25.60,9.04,5.64,15.11,21.73,103.52,4.02,38.54,84.02,0.46,3.29,9.92,0.32,19.12,25.98,0.74,13.52,28.55,42.08,23.18,8.71,4.82,15.79,22.60,99.50,-4.02,26.61,25.35,25.47,25.66,9.53,10.00,103.52,24.85,24.41,24.87,24.95,9.42,8.50,101.26,103.45,2.22,2.19
1994,NBA,38.50,81.53,0.47,5.52,15.24,0.36,20.47,27.72,0.74,13.35,29.15,42.50,24.47,8.29,5.46,15.28,23.08,102.99,3.17,37.47,81.45,0.46,5.46,15.38,0.35,19.42,26.42,0.74,12.74,27.87,40.61,22.26,8.27,4.86,15.54,23.86,99.82,-3.17,26.23,25.84,25.14,25.06,10.17,9.08,102.99,25.20,24.43,24.80,24.62,10.36,10.54,101.12,102.41,1.93,1.85
1995,NBA,37.58,80.50,0.47,5.93,16.03,0.37,20.03,27.06,0.74,13.05,29.21,42.26,23.70,8.09,5.44,15.04,22.65,101.12,3.23,36.51,79.86,0.46,5.85,16.06,0.36,19.01,25.72,0.74,12.20,28.05,40.25,21.68,7.85,4.68,15.47,23.44,97.89,-3.23,25.61,24.94,24.79,25.15,9.83,9.39,101.12,24.70,24.18,24.06,24.33,9.81,7.89,99.12,100.99,1.79,2.00
1996,NBA,36.63,79.80,0.46,6.02,16.73,0.36,18.91,25.67,0.74,13.07,28.81,41.88,23.07,8.36,5.26,15.39,21.91,98.19,2.57,35.51,78.81,0.45,6.08,16.87,0.36,18.51,25.02,0.74,12.26,28.03,40.29,21.02,8.03,4.55,15.94,22.33,95.62,-2.57,25.08,24.24,23.84,24.28,0.82,0.18,98.19,23.96,23.48,23.37,24.08,0.77,0.31,96.35,97.80,1.69,2.10
1997,NBA,36.42,79.84,0.46,4.46,12.67,0.35,19.74,26.74,0.74,13.44,29.21,42.65,23.01,8.41,5.50,15.36,22.07,97.04,2.95,35.39,79.57,0.45,4.33,12.75,0.33,18.99,25.82,0.74,12.66,27.78,40.44,21.05,8.36,4.64,15.61,22.74,94.10,-2.95,24.57,23.73,23.93,24.07,0.64,0.24,97.04,23.47,23.23,22.93,23.77,0.58,0.24,95.96,97.10,1.83,1.83
1998,NBA,34.75,78.26,0.45,4.58,13.19,0.34,19.21,26.21,0.73,12.79,29.68,42.47,21.80,8.38,5.31,15.23,21.89,93.30,3.44,33.59,78.12,0.43,4.34,13.12,0.32,18.35,25.38,0.73,12.38,28.45,40.84,19.65,8.33,4.61,15.42,22.54,89.86,-3.44,23.73,23.03,22.55,23.27,0.77,0.36,93.30,22.77,22.12,21.95,22.34,0.71,0.39,92.16,93.24,1.62,1.48
1999,NBA,37.47,82.24,0.46,4.93,13.83,0.36,19.38,25.68,0.76,12.65,31.15,43.80,23.42,8.06,5.62,15.25,23.06,99.24,3.54,36.20,81.95,0.44,4.75,13.60,0.34,18.55,24.88,0.75,12.18,29.86,42.04,21.27,7.81,4.71,15.69,23.54,95.70,-3.54,25.54,24.58,24.23,24.25,0.65,0.27,99.24,24.32,23.58,23.49,23.73,0.60,0.25,95.22,96.90,1.79,1.90
2000,NBA,36.24,80.74,0.45,4.89,13.73,0.35,18.90,25.19,0.75,12.15,31.03,43.18,22.67,7.91,5.70,14.87,22.18,96.27,2.92,35.13,80.45,0.44,4.80,13.68,0.35,18.28,24.55,0.75,11.84,29.92,41.76,20.89,7.73,4.82,15.23,22.52,93.35,-2.92,24.59,24.23,23.46,23.24,0.72,0.23,96.27,23.65,23.28,22.66,22.99,0.78,0.20,94.69,96.03,1.90,1.72
2001,NBA,36.82,81.48,0.45,5.29,14.89,0.36,18.24,24.17,0.75,12.45,30.80,43.25,22.92,7.83,5.59,14.32,21.03,97.18,3.40,35.52,81.07,0.44,5.14,14.61,0.35,17.60,23.48,0.75,12.02,29.53,41.55,20.92,7.76,4.86,14.60,21.44,93.78,-3.40,24.85,24.03,23.96,23.67,0.67,0.24,97.18,23.67,23.31,22.92,23.22,0.65,0.24,95.14,95.99,1.55,1.90
2002,NBA,36.45,80.86,0.45,5.35,14.79,0.36,18.75,24.75,0.76,12.15,30.93,43.08,22.58,8.05,5.42,14.68,21.52,97.00,3.87,34.96,80.71,0.43,4.92,14.58,0.33,18.29,24.14,0.76,11.95,29.60,41.55,20.40,7.84,4.62,15.16,22.00,93.13,-3.87,24.78,24.05,23.87,23.53,0.76,0.26,97.02,23.31,22.93,22.95,23.20,0.72,0.21,93.95,95.82,1.62,1.76
2003,NBA,35.64,80.10,0.45,5.26,14.85,0.35,18.65,24.82,0.75,12.43,30.77,43.20,22.15,8.00,5.32,14.65,21.11,95.20,3.60,34.38,79.53,0.43,5.11,15.00,0.34,17.74,23.59,0.75,11.75,29.45,41.21,20.46,7.86,4.80,15.19,21.79,91.60,-3.60,24.05,23.72,23.53,23.23,0.65,0.22,95.20,22.97,22.73,22.61,22.66,0.62,0.23,93.72,94.78,1.55,1.97
2004,NBA,36.44,80.33,0.45,5.70,15.91,0.35,20.18,26.61,0.76,12.22,30.40,42.62,22.14,7.59,5.19,14.36,22.28,98.76,3.13,35.46,80.34,0.44,5.50,15.59,0.35,19.22,25.50,0.75,11.80,29.29,41.09,20.41,7.45,4.53,14.64,22.98,95.64,-3.13,24.83,24.60,24.40,24.17,0.76,0.34,98.76,23.89,23.56,23.66,23.78,0.73,0.37,94.90,96.38,1.37,1.97
2005,NBA,36.43,79.19,0.46,5.67,15.90,0.35,20.17,27.03,0.75,11.55,30.41,41.96,21.37,7.20,5.04,14.22,22.18,98.69,3.37,35.25,78.79,0.45,5.78,16.07,0.36,19.04,25.57,0.74,10.80,29.16,39.96,19.86,7.13,4.36,14.61,23.33,95.32,-3.37,24.73,24.41,24.39,24.30,0.73,0.28,98.69,23.88,23.77,23.23,23.59,0.71,0.33,96.26,97.20,1.50,1.80
2006,NBA,37.01,79.77,0.46,6.16,16.98,0.36,20.06,26.68,0.75,11.30,30.41,41.71,22.14,7.27,4.92,14.93,21.81,100.23,2.99,36.05,79.64,0.45,5.97,16.90,0.35,19.17,25.48,0.75,10.94,29.45,40.40,20.43,7.20,4.30,15.34,22.63,97.25,-2.99,25.25,24.90,24.77,24.34,0.78,0.44,100.23,24.10,23.92,23.85,24.45,0.78,0.35,97.42,98.95,1.60,1.77
2007,NBA,37.80,81.60,0.46,6.59,18.11,0.36,19.42,25.64,0.76,11.44,31.28,42.72,22.64,7.35,5.11,13.85,20.65,101.62,3.40,36.72,81.41,0.45,6.52,18.12,0.36,18.25,24.24,0.75,10.96,30.28,41.24,20.86,7.20,4.35,14.38,21.39,98.22,-3.40,25.69,25.36,25.15,24.76,0.71,0.32,101.63,24.71,24.28,24.10,24.52,0.66,0.25,98.40,100.13,1.57,1.93
